AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
karapakkam,partial,0,other,elo,noaccess,RH,30,545,1.0,1.0,2,3854375
karapakkam,adjland,1,other,elo,gravel,RH,36,1249,1.0,1.0,3,8594875
t nagar,partial,1,house,nosewr,gravel,RL,45,1894,2.0,1.0,5,13549250
karapakkam,abnormal,0,commercial,nosewr,noaccess,C,5,1469,2.0,2.0,4,9480750
adyar,normalsale,1,house,elo,noaccess,A,28,916,1.0,1.0,3,5847520
chrompet,adjland,1,house,nosewr,paved,RM,22,934,1.0,1.0,3,9710900
karapakkam,abnormal,0,house,nosewr,gravel,RM,31,1691,2.0,2.0,4,9398750
karapakkam,normalsale,0,commercial,nosewr,paved,I,39,1236,1.0,1.0,3,8806250
t nagar,partial,1,other,nosewr,paved,RH,36,1577,1.0,1.0,4,12087330
anna nagar,partial,1,other,nosewr,gravel,RH,41,1915,2.0,1.0,5,14175620
anna nagar,family,1,house,elo,gravel,RH,21,1600,1.0,1.0,4,11920820
velachery,abnormal,1,commercial,elo,paved,I,24,1579,2.0,1.0,4,13364730
adyar,partial,0,other,nosewr,noaccess,A,25,1260,2.0,2.0,4,6922975
adyar,normalsale,0,commercial,nosewr,paved,I,5,1021,1.0,1.0,3,11673175
kk nagar,family,1,other,allpub,paved,RM,23,2174,3.0,2.0,5,13069740
anna nagar,partial,0,other,allpub,gravel,RL,44,1589,1.0,,4,12212350
adyar,abnormal,1,commercial,nosewr,gravel,I,5,668,1.0,1.0,2,10283575
velachery,abnormal,1,house,elo,noaccess,RL,54,1724,2.0,1.0,4,8956480
adyar,abnormal,1,house,nosewr,paved,C,30,890,1.0,1.0,3,7187350
adyar,normalsale,0,commercial,allpub,noaccess,I,30,1218,2.0,2.0,4,12574850
anna nagar,family,1,house,elo,gravel,RM,21,1792,1.0,1.0,4,13906270
karapakkam,adjland,0,other,nosewr,gravel,RM,9,1378,2.0,2.0,4,9917500
karapakkam,partial,1,commercial,nosewr,paved,RH,29,898,1.0,1.0,3,8629750
anna nagar,partial,0,house,allpub,noaccess,RH,10,1928,2.0,1.0,5,11667050
chrompet,abnormal,0,house,nosewr,gravel,RM,33,1233,2.0,1.0,4,9817150
velachery,adjland,1,other,nosewr,paved,C,40,1618,2.0,1.0,4,9263050
karapakkam,family,0,house,nosewr,gravel,RM,28,627,1.0,1.0,2,6587500
velachery,family,0,house,nosewr,gravel,RM,28,1563,2.0,1.0,4,9799360
karapakkam,normalsale,1,commercial,nosewr,gravel,C,6,1693,2.0,2.0,4,12801500
t nagar,partial,0,commercial,allpub,gravel,RL,43,1522,1.0,1.0,4,17454510
adyar,partial,1,other,nosewr,gravel,RH,28,1090,1.0,1.0,3,9832420
chrompet,abnormal,1,commercial,nosewr,gravel,RL,6,1085,1.0,1.0,3,14363500
t nagar,abnormal,0,other,nosewr,paved,RH,13,1687,1.0,1.0,4,12476770
adyar,normalsale,1,commercial,allpub,paved,RH,37,692,1.0,1.0,2,10381355
t nagar,family,1,commercial,allpub,paved,RH,37,1518,1.0,1.0,4,17600240
adyar,partial,0,commercial,nosewr,paved,I,25,1025,1.0,1.0,3,10934875
kk nagar,family,1,house,nosewr,gravel,RL,8,2170,3.0,2.0,5,12372160
chrompet,family,1,commercial,elo,noaccess,RH,17,969,1.0,1.0,3,11248750
kk nagar,abnormal,0,commercial,allpub,gravel,RM,27,1546,2.0,1.0,4,14241140
kk nagar,abnormal,1,house,nosewr,paved,RL,20,1709,2.0,1.0,4,10160600
t nagar,adjland,1,other,nosewr,noaccess,RL,18,1659,1.0,1.0,4,13539080
chrompet,normalsale,0,commercial,elo,gravel,RM,33,755,1.0,1.0,2,10727750
adyar,normalsale,1,house,allpub,noaccess,RL,17,1182,1.0,1.0,3,9867055
adyar,adjland,0,commercial,nosewr,noaccess,RH,14,735,1.0,1.0,2,9478710
chrompet,normalsale,1,house,elo,paved,RL,32,1089,1.0,1.0,3,9050200
velachery,partial,1,other,elo,paved,C,53,1534,2.0,1.0,4,7904210
anna nagar,family,1,house,elo,gravel,RL,5,1622,1.0,1.0,4,13063450
kk nagar,partial,1,other,nosewr,gravel,RM,21,2198,3.0,2.0,5,13584980
chrompet,normalsale,0,commercial,elo,noaccess,RL,39,1293,2.0,1.0,4,13116050
kk nagar,partial,0,other,allpub,gravel,RL,29,1641,2.0,1.0,4,10012600
velachery,adjland,1,other,nosewr,paved,RL,41,1950,3.0,2.0,5,12105920
karapakkam,partial,0,other,nosewr,paved,A,28,1245,1.0,1.0,3,4918375
chrompet,family,0,other,elo,gravel,RH,33,905,1.0,1.0,3,7703200
kk nagar,family,0,house,nosewr,gravel,RH,14,1496,2.0,1.0,4,8569080
velachery,adjland,1,house,elo,gravel,RM,36,1892,3.0,2.0,5,12146620
velachery,family,0,commercial,elo,paved,C,11,1517,2.0,1.0,4,11671620
adyar,adjland,1,other,elo,gravel,C,16,1034,1.0,1.0,3,9256740
velachery,family,1,commercial,nosewr,gravel,I,35,1755,2.0,1.0,4,14915900
anna nagar,adjland,1,house,nosewr,paved,RM,7,1622,1.0,1.0,4,13547790
chrompet,normalsale,0,other,allpub,noaccess,RH,4,1092,1.0,1.0,3,8213040
chrompet,adjland,0,house,nosewr,paved,RH,8,821,1.0,1.0,3,7304000
kk nagar,family,0,other,nosewr,gravel,RL,11,1694,2.0,1.0,4,10390900
anna nagar,family,0,commercial,allpub,noaccess,RL,26,1809,2.0,1.0,5,19206870
karapakkam,partial,1,other,allpub,gravel,RL,14,1401,2.0,2.0,4,9965375
karapakkam,abnormal,0,other,nosewr,noaccess,RH,25,1470,2.0,2.0,4,7207000
chrompet,partial,0,commercial,nosewr,paved,RH,37,798,1.0,1.0,2,9070550
chrompet,partial,0,house,elo,noaccess,RH,8,764,1.0,1.0,2,5670200
chrompet,abnormal,0,other,nosewr,noaccess,RM,23,1135,1.0,1.0,3,9253200
karapakkam,abnormal,0,house,elo,noaccess,I,38,939,1.0,1.0,3,4294000
karapakkam,normalsale,1,commercial,nosewr,gravel,RM,28,1586,2.0,2.0,4,14316000
t nagar,family,1,commercial,allpub,gravel,RM,35,1973,2.0,1.0,5,23307000
chrompet,partial,1,house,allpub,paved,RM,17,1023,1.0,1.0,3,9735150
chrompet,normalsale,0,commercial,nosewr,noaccess,RM,4,884,1.0,1.0,3,11336400
anna nagar,adjland,0,commercial,elo,noaccess,RH,5,1640,1.0,1.0,4,17701600
adyar,normalsale,0,other,elo,noaccess,RL,20,622,1.0,1.0,2,6572900
anna nagar,partial,1,house,nosewr,noaccess,RM,16,1880,2.0,1.0,5,13423020
kk nagar,abnormal,0,other,nosewr,paved,RM,9,2413,4.0,2.0,6,13122040
t nagar,adjland,0,commercial,allpub,gravel,RH,25,1649,1.0,1.0,4,18939100
velachery,partial,1,commercial,nosewr,paved,A,41,1729,2.0,1.0,4,12803570
t nagar,family,0,house,nosewr,gravel,RH,37,1942,2.0,1.0,5,12330740
chrompet,adjland,1,other,nosewr,noaccess,RL,12,711,1.0,1.0,2,8050270
chrompet,family,0,house,elo,noaccess,RM,32,885,1.0,1.0,3,7194600
kk nagar,abnormal,1,house,nosewr,gravel,RM,15,1688,2.0,1.0,4,11412700
adyar,family,0,commercial,elo,gravel,A,37,1236,2.0,2.0,4,12035355
karapakkam,family,0,house,elo,gravel,RL,20,926,1.0,1.0,3,6877000
kk nagar,abnormal,0,other,nosewr,paved,RM,24,1686,2.0,1.0,4,10346400
karapakkam,adjland,0,commercial,nosewr,gravel,RH,50,1344,2.0,2.0,4,10809500
kk nagar,family,0,other,allpub,gravel,RM,23,1437,2.0,1.0,4,10200600
karapakkam,abnormal,1,other,nosewr,noaccess,A,10,1430,2.0,2.0,4,6635750
adyar,family,0,house,allpub,noaccess,C,30,1081,1.0,1.0,3,6190150
karapakkam,normalsale,1,house,elo,gravel,A,27,1352,2.0,2.0,4,6507250
kk nagar,normalsale,0,house,allpub,gravel,RM,30,1986,3.0,2.0,5,11350400
anna nagar,partial,1,commercial,allpub,noaccess,RL,42,1758,1.0,1.0,4,19285540
karapakkam,normalsale,0,other,nosewr,gravel,RL,46,607,1.0,1.0,2,5856625
kk nagar,normalsale,1,other,nosewr,paved,RL,21,2139,3.0,2.0,5,12472000
kk nagar,partial,0,other,allpub,paved,RH,27,1488,2.0,1.0,4,8441900
velachery,partial,0,house,nosewr,noaccess,RH,26,1645,2.0,1.0,4,7579320
chrompet,normalsale,1,other,nosewr,gravel,RL,26,950,1.0,1.0,3,9759000
chrompet,partial,1,commercial,allpub,gravel,RH,4,928,1.0,1.0,3,12423800
velachery,normalsale,1,commercial,nosewr,paved,RM,53,1693,2.0,1.0,4,15495760
velachery,family,1,other,elo,noaccess,RL,21,1873,3.0,2.0,5,11022270
adyar,partial,0,other,nosewr,paved,RL,10,721,1.0,1.0,2,7605550
karapakkam,family,1,house,nosewr,gravel,RH,29,1190,1.0,1.0,3,7967750
kk nagar,partial,0,other,allpub,paved,RH,17,1593,2.0,1.0,4,8946800
chrompet,abnormal,1,other,elo,gravel,RL,12,786,1.0,1.0,2,9244820
chrompet,adjland,0,other,nosewr,paved,RL,19,1195,1.0,1.0,3,9821600
velachery,normalsale,0,house,nosewr,paved,I,33,1824,3.0,2.0,5,8549060
kk nagar,abnormal,1,commercial,nosewr,paved,RH,7,1906,3.0,2.0,5,15852740
adyar,abnormal,0,commercial,allpub,paved,I,9,656,1.0,1.0,2,8757635
chrompet,abnormal,0,other,elo,gravel,RM,16,727,1.0,1.0,2,8415990
adyar,family,1,other,elo,paved,RM,33,931,1.0,1.0,3,9935595
velachery,adjland,1,commercial,elo,noaccess,RM,38,1898,3.0,2.0,5,16617860
anna nagar,family,0,house,nosewr,gravel,RM,40,1698,1.0,1.0,4,12412050
t nagar,adjland,1,commercial,nosewr,noaccess,RM,17,1926,2.0,1.0,5,22630540
karapakkam,partial,1,commercial,allpub,paved,A,38,1481,2.0,2.0,4,9901500
anna nagar,family,0,house,elo,noaccess,RM,33,1506,1.0,1.0,4,10449910
chrompet,family,0,house,nosewr,noaccess,RM,24,1020,1.0,1.0,3,7948600
chrompet,abnormal,0,other,elo,gravel,RM,21,889,1.0,1.0,3,9098680
chrompet,family,1,house,allpub,paved,RH,35,1015,1.0,1.0,3,8342850
t nagar,abnormal,0,commercial,allpub,gravel,RH,35,1682,1.0,1.0,4,18662350
chrompet,family,0,other,nosewr,noaccess,RM,18,869,1.0,1.0,3,8172630
karapakkam,family,0,house,nosewr,noaccess,I,24,1445,2.0,2.0,4,5856500
anna nagar,partial,1,house,nosewr,gravel,RM,13,1919,2.0,1.0,5,14704160
adyar,normalsale,1,commercial,nosewr,paved,C,36,1243,2.0,2.0,4,13360440
karapakkam,normalsale,0,house,elo,paved,I,17,857,1.0,1.0,2,4928250
karapakkam,adjland,1,other,nosewr,gravel,I,48,1055,1.0,1.0,3,7315125
kk nagar,family,0,other,nosewr,gravel,RL,8,1778,3.0,2.0,5,10998320
karapakkam,adjland,0,other,elo,paved,A,41,851,1.0,1.0,2,3936375
chrompet,partial,1,other,nosewr,noaccess,RL,4,1021,1.0,1.0,3,9201770
kk nagar,abnormal,1,commercial,nosewr,paved,RL,22,2203,3.0,2.0,5,17891240
karapakkam,family,0,commercial,nosewr,noaccess,I,30,613,1.0,1.0,2,5144500
adyar,partial,0,commercial,nosewr,noaccess,I,18,738,1.0,1.0,2,8312670
karapakkam,adjland,0,house,elo,gravel,RH,29,1489,2.0,2.0,4,8007250
karapakkam,abnormal,1,house,nosewr,gravel,RM,9,795,1.0,1.0,2,8479250
velachery,family,1,other,allpub,gravel,A,33,1909,3.0,2.0,5,10129160
chrompet,family,0,house,allpub,noaccess,RM,12,1252,2.0,1.0,4,9482200
karapakkam,abnormal,0,commercial,elo,paved,RM,33,1077,1.0,1.0,3,9846750
kk nagar,normalsale,0,other,nosewr,paved,RH,27,1524,2.0,1.0,4,8675820
chrompet,partial,1,house,elo,gravel,RM,11,1049,1.0,1.0,3,10262450
velachery,abnormal,0,other,allpub,gravel,C,55,1780,2.0,1.0,4,8671050
chrompet,adjland,0,commercial,elo,noaccess,RL,17,946,1.0,1.0,3,11165550
chrompet,partial,1,house,nosewr,gravel,RM,32,906,1.0,1.0,3,9464800
kk nagar,abnormal,0,commercial,nosewr,gravel,RM,24,2344,4.0,2.0,6,18849880
adyar,adjland,1,other,nosewr,paved,RH,15,929,1.0,1.0,3,9480425
anna nagar,adjland,0,house,elo,noaccess,RL,15,1843,2.0,1.0,5,12264750
anna nagar,partial,1,commercial,allpub,gravel,RL,35,1918,2.0,1.0,5,21875050
kk nagar,normalsale,1,commercial,allpub,paved,RH,19,1507,2.0,1.0,4,13538580
kk nagar,family,0,house,allpub,gravel,RH,6,1499,2.0,1.0,4,8876320
kk nagar,normalsale,1,commercial,allpub,paved,RH,22,1526,2.0,1.0,4,13645040
anna nagar,abnormal,1,commercial,nosewr,paved,RH,10,1855,2.0,1.0,5,20996200
karapakkam,normalsale,1,other,elo,paved,RH,30,1627,2.0,2.0,4,9071125
velachery,abnormal,0,house,allpub,gravel,RM,39,1846,3.0,2.0,5,10815830
kk nagar,abnormal,1,other,nosewr,paved,RM,16,2019,3.0,2.0,5,12802500
karapakkam,normalsale,1,other,allpub,gravel,I,13,1578,2.0,2.0,4,9532500
velachery,family,1,commercial,nosewr,noaccess,C,25,1780,2.0,1.0,4,13346700
karapakkam,partial,0,commercial,nosewr,noaccess,C,38,662,1.0,1.0,2,4356500
chrompet,family,0,commercial,nosewr,gravel,RL,26,1005,1.0,1.0,3,12257100
karapakkam,partial,0,house,nosewr,paved,C,20,839,1.0,1.0,2,4100500
anna nagar,partial,0,house,allpub,noaccess,RM,34,1698,1.0,1.0,4,11527430
adyar,partial,1,house,nosewr,paved,A,19,878,1.0,1.0,3,6452785
chrompet,partial,1,house,elo,paved,RM,37,835,1.0,1.0,3,8434750
chrompet,partial,1,other,elo,noaccess,RH,33,911,1.0,1.0,3,7427820
velachery,adjland,1,house,elo,noaccess,RH,50,1796,2.0,1.0,4,9105350
karapakkam,adjland,0,other,elo,noaccess,C,28,1004,1.0,1.0,3,4721500
anna nagar,normalsale,0,other,nosewr,paved,RL,27,1694,1.0,1.0,4,12575010
karapakkam,abnormal,1,other,allpub,gravel,I,31,1244,1.0,1.0,3,7952750
karapakkam,partial,0,other,allpub,paved,RL,24,588,1.0,1.0,2,5705500
kk nagar,adjland,1,house,nosewr,paved,RL,7,2342,4.0,2.0,6,12898740
velachery,normalsale,0,other,allpub,paved,RL,29,1835,3.0,2.0,5,10722580
anna nagar,partial,1,house,allpub,gravel,RL,43,1977,2.0,1.0,5,14102960
kk nagar,abnormal,1,commercial,nosewr,gravel,RM,15,1961,3.0,2.0,5,17612900
velachery,normalsale,1,house,nosewr,noaccess,A,12,1517,2.0,1.0,4,7146890
kk nagar,partial,1,other,nosewr,gravel,RL,25,2409,4.0,2.0,6,13476480
velachery,partial,0,commercial,elo,gravel,RH,23,1864,3.0,2.0,5,15100560
velachery,family,1,commercial,allpub,paved,RM,31,1643,2.0,1.0,4,15599020
adyar,family,1,commercial,nosewr,noaccess,C,8,1015,1.0,1.0,3,11224620
anna nagar,normalsale,1,other,nosewr,noaccess,RH,32,1700,1.0,1.0,4,12477040
karapakkam,family,0,commercial,elo,noaccess,C,31,624,1.0,1.0,2,4396250
chrompet,normalsale,0,commercial,nosewr,paved,RL,17,980,1.0,1.0,3,11900750
karapakkam,abnormal,1,commercial,nosewr,gravel,RH,20,1003,1.0,1.0,3,10090000
adyar,family,1,house,nosewr,noaccess,A,6,1072,1.0,1.0,3,6607690
karapakkam,adjland,0,house,nosewr,gravel,C,35,808,1.0,1.0,2,4752250
chrompet,normalsale,0,house,elo,paved,RH,21,1027,1.0,1.0,3,7441350
karapakkam,normalsale,0,house,nosewr,gravel,RL,11,696,1.0,1.0,2,6441250
velachery,family,1,house,elo,paved,RL,8,1716,2.0,1.0,4,10359860
velachery,family,0,commercial,allpub,paved,C,6,1878,3.0,2.0,5,14328720
kk nagar,normalsale,1,other,nosewr,gravel,RL,16,1699,2.0,1.0,4,11444100
kk nagar,abnormal,0,house,allpub,paved,RM,24,1626,2.0,1.0,4,9680280
kk nagar,normalsale,0,commercial,nosewr,gravel,RL,18,1730,2.0,1.0,4,14739360
chrompet,family,0,other,elo,gravel,RL,22,996,1.0,1.0,3,8939620
chrompet,adjland,1,commercial,allpub,noaccess,RM,16,1277,2.0,1.0,4,15710400
chrompet,normalsale,0,commercial,nosewr,paved,RH,32,906,1.0,1.0,3,10226600
anna nagar,partial,0,house,nosewr,paved,RL,39,1976,2.0,1.0,5,12300050
velachery,normalsale,1,house,nosewr,paved,RH,21,1776,2.0,1.0,4,9989170
karapakkam,normalsale,0,house,nosewr,gravel,I,30,1402,2.0,2.0,4,6966500
chrompet,adjland,1,other,allpub,noaccess,RH,30,1160,1.0,1.0,3,9463900
velachery,normalsale,1,commercial,elo,noaccess,I,25,1957,3.0,2.0,5,15199450
t nagar,adjland,0,commercial,nosewr,noaccess,RL,20,1887,2.0,1.0,5,20499450
velachery,normalsale,1,house,elo,paved,RH,48,1859,3.0,2.0,5,9925210
chrompet,family,1,commercial,allpub,noaccess,RM,5,747,1.0,1.0,2,11223550
adyar,partial,1,house,nosewr,paved,C,7,985,1.0,1.0,3,7379505
chrompet,normalsale,1,commercial,allpub,noaccess,RH,16,1024,1.0,1.0,3,12091400
velachery,family,1,other,elo,paved,RL,25,1600,2.0,1.0,4,10530200
chrompet,normalsale,0,other,nosewr,paved,RL,36,1276,2.0,1.0,4,9604120
chrompet,family,1,house,elo,gravel,RH,36,1159,1.0,1.0,3,9062800
karapakkam,abnormal,1,house,nosewr,noaccess,C,50,1024,1.0,1.0,3,4748500
adyar,adjland,0,commercial,nosewr,paved,A,19,1249,2.0,2.0,4,12642285
chrompet,normalsale,1,other,allpub,gravel,RH,16,839,1.0,1.0,3,9107430
chrompet,abnormal,0,house,allpub,noaccess,RM,34,1286,2.0,1.0,4,9153300
kk nagar,adjland,0,house,allpub,gravel,RL,16,2467,4.0,2.0,6,12650920
karapakkam,adjland,0,commercial,elo,noaccess,RM,15,653,1.0,1.0,2,7635250
karapakkam,family,1,other,nosewr,gravel,RM,17,606,1.0,1.0,2,7854000
t nagar,adjland,1,house,elo,noaccess,RL,29,1837,2.0,1.0,5,13197230
velachery,family,1,commercial,nosewr,noaccess,C,46,1880,3.0,2.0,5,13669670
kk nagar,adjland,1,commercial,allpub,gravel,RH,23,2189,3.0,2.0,5,18249860
velachery,adjland,1,commercial,nosewr,paved,C,49,1853,3.0,2.0,5,14707330
chrompet,normalsale,0,other,allpub,paved,RL,17,1057,1.0,1.0,3,9144840
adyar,family,0,commercial,elo,gravel,RM,28,723,1.0,1.0,2,10969920
t nagar,family,0,other,elo,noaccess,RL,44,1812,2.0,1.0,5,12248640
t nagar,adjland,1,other,elo,noaccess,RL,17,1788,1.0,1.0,4,14225180
velachery,abnormal,0,house,elo,paved,I,19,1615,2.0,1.0,4,8019280
anna nagar,adjland,0,house,nosewr,noaccess,RL,43,1755,1.0,1.0,4,11410310
adyar,family,0,house,allpub,noaccess,RM,20,1296,2.0,2.0,4,9950600
kk nagar,abnormal,1,house,nosewr,paved,RL,6,1554,2.0,1.0,4,9980320
anna nagar,adjland,1,house,allpub,gravel,RL,9,1737,1.0,1.0,4,14292780
karapakkam,family,1,other,allpub,noaccess,I,12,785,1.0,1.0,2,5752875
karapakkam,partial,1,commercial,nosewr,gravel,C,35,1678,2.0,2.0,4,11883250
kk nagar,normalsale,1,commercial,nosewr,paved,RM,9,2360,4.0,2.0,6,19816180
kk nagar,family,1,other,nosewr,paved,RH,28,1464,2.0,1.0,4,9394640
kk nagar,partial,1,other,allpub,gravel,RH,19,1632,2.0,1.0,4,10506420
velachery,abnormal,1,other,elo,noaccess,C,26,1755,2.0,1.0,4,8762820
velachery,partial,0,other,nosewr,paved,RL,20,1556,2.0,1.0,4,9348100
adyar,adjland,0,house,nosewr,gravel,RH,36,1170,1.0,1.0,3,9134740
adyar,partial,0,other,allpub,gravel,I,37,901,1.0,1.0,3,7643255
karapakkam,partial,1,commercial,nosewr,gravel,A,19,1160,1.0,1.0,3,8886250
karapakkam,family,1,house,nosewr,noaccess,A,8,1570,2.0,2.0,4,6407000
karapakkam,abnormal,0,commercial,nosewr,paved,RL,32,1476,2.0,2.0,4,11536000
karapakkam,family,1,other,elo,paved,I,19,586,1.0,1.0,2,5333000
karapakkam,normalsale,1,house,allpub,paved,RL,33,1059,1.0,1.0,3,7849250
t nagar,abnormal,1,house,nosewr,gravel,RL,6,1712,1.0,1.0,4,13797720
adyar,partial,0,other,nosewr,gravel,RH,39,847,1.0,1.0,3,7492300
karapakkam,family,0,house,nosewr,noaccess,I,23,1192,1.0,1.0,3,5342250
velachery,partial,1,commercial,allpub,noaccess,RL,25,1942,3.0,2.0,5,16212650
karapakkam,family,1,other,elo,noaccess,I,17,557,1.0,1.0,2,4710125
velachery,normalsale,1,commercial,elo,gravel,I,19,1728,2.0,1.0,4,14898480
velachery,family,1,commercial,allpub,gravel,RM,29,1798,2.0,1.0,4,17060380
karapakkam,partial,1,house,allpub,gravel,A,35,1497,2.0,2.0,4,6931750
chrompet,normalsale,1,house,nosewr,noaccess,RH,32,1173,1.0,1.0,3,8196400
anna nagar,partial,1,commercial,nosewr,noaccess,RH,36,1640,1.0,1.0,4,17704670
kk nagar,partial,1,other,nosewr,paved,RL,17,1747,2.0,1.0,4,10784680
karapakkam,abnormal,1,commercial,elo,noaccess,I,43,1342,2.0,2.0,4,9594250
t nagar,adjland,0,house,nosewr,noaccess,RM,27,2000,2.0,1.0,5,13596890
velachery,family,0,other,nosewr,gravel,RH,11,1987,3.0,2.0,5,11156320
karapakkam,family,0,other,allpub,gravel,C,17,1567,2.0,2.0,4,7725875
karapakkam,partial,0,commercial,allpub,noaccess,RM,34,1188,1.0,1.0,3,9819500
adyar,family,0,house,nosewr,noaccess,A,32,737,1.0,1.0,2,3869180
karapakkam,adjland,1,other,nosewr,paved,C,13,785,1.0,1.0,2,5852625
kk nagar,abnormal,0,house,nosewr,paved,RH,21,2078,3.0,2.0,5,9696820
adyar,family,1,commercial,allpub,noaccess,RH,10,647,1.0,1.0,2,9574550
karapakkam,adjland,1,other,allpub,noaccess,A,16,1171,1.0,1.0,3,6102625
kk nagar,partial,1,commercial,nosewr,gravel,RM,18,2435,4.0,2.0,6,20246360
velachery,adjland,1,commercial,allpub,paved,RL,16,1805,3.0,2.0,5,16930470
karapakkam,normalsale,0,house,allpub,gravel,A,17,1145,1.0,1.0,3,5510250
karapakkam,normalsale,0,house,allpub,paved,RL,28,971,1.0,1.0,3,6530500
