AREA,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALES_PRICE
chrompet,adjland,0,house,nosewr,paved,RM,13,1119,97,1.0,1.0,3,9722150
kk nagar,abnormal,1,commercial,allpub,paved,RH,21,1934,73,3.0,2.0,5,16063820
velachery,family,0,commercial,nosewr,gravel,RH,9,1868,148,3.0,2.0,5,15714080
anna nagar,family,1,house,elo,noaccess,RM,27,1915,75,2.0,1.0,5,13531290
kk nagar,partial,1,commercial,nosewr,gravel,RM,18,2435,124,4.0,2.0,6,20246360
velachery,partial,1,commercial,nosewr,noaccess,RM,40,1908,144,3.0,2.0,5,16222200
chrompet,adjland,1,other,allpub,gravel,RL,35,979,21,1.0,1.0,3,10173430
anna nagar,partial,0,house,nosewr,noaccess,RH,44,1658,110,1.0,1.0,4,9615130
chrompet,normalsale,0,house,nosewr,paved,RM,15,709,48,1.0,1.0,2,7676450
anna nagar,family,1,commercial,nosewr,paved,RL,16,1555,43,1.0,1.0,4,18722090
karapakkam,abnormal,0,commercial,nosewr,paved,RL,17,1357,34,2.0,2.0,4,11199750
velachery,normalsale,0,commercial,allpub,noaccess,A,50,1657,187,2.0,1.0,4,10849950
kk nagar,partial,0,other,nosewr,gravel,RM,20,1605,179,2.0,1.0,4,10305500
karapakkam,adjland,0,commercial,allpub,paved,A,18,790,119,1.0,1.0,2,6102500
karapakkam,family,1,other,elo,paved,RM,18,1045,34,1.0,1.0,3,8563875
anna nagar,partial,0,house,elo,noaccess,RL,20,1710,59,1.0,1.0,4,10771100
t nagar,family,1,other,elo,noaccess,RL,16,1597,170,1.0,1.0,4,12654180
chrompet,family,0,house,nosewr,paved,RL,24,1264,145,2.0,1.0,4,8987800
karapakkam,abnormal,1,other,allpub,paved,A,5,1349,59,2.0,2.0,4,7141125
velachery,partial,0,commercial,elo,paved,RH,42,1524,198,2.0,1.0,4,12111940
karapakkam,family,0,house,nosewr,gravel,I,45,782,71,1.0,1.0,2,4842750
adyar,abnormal,1,commercial,allpub,paved,RM,28,968,27,1.0,1.0,3,13969720
chrompet,normalsale,0,house,nosewr,paved,RL,5,1005,103,1.0,1.0,3,8452750
karapakkam,partial,1,house,elo,noaccess,RH,41,1438,161,2.0,2.0,4,7018750
anna nagar,adjland,1,commercial,elo,paved,RL,33,1601,142,1.0,1.0,4,19147860
karapakkam,normalsale,0,house,allpub,noaccess,I,50,1368,108,2.0,2.0,4,5430500
chrompet,adjland,0,house,allpub,paved,RL,26,784,162,1.0,1.0,2,7499900
chrompet,partial,1,house,nosewr,paved,RH,26,1185,31,1.0,1.0,3,8835500
anna nagar,family,0,commercial,nosewr,gravel,RL,18,1600,185,1.0,1.0,4,18439310
anna nagar,abnormal,0,other,allpub,noaccess,RH,7,1609,125,1.0,1.0,4,11671660
chrompet,normalsale,0,commercial,elo,paved,RH,18,791,3,1.0,1.0,2,9525100
velachery,adjland,1,commercial,nosewr,paved,I,50,1889,163,3.0,2.0,5,15472200
kk nagar,adjland,1,commercial,allpub,gravel,RH,14,1830,123,3.0,2.0,5,16312280
velachery,partial,1,commercial,elo,gravel,I,45,1669,168,2.0,1.0,4,13852750
anna nagar,partial,1,other,elo,noaccess,RH,20,1868,157,2.0,1.0,5,13107540
chrompet,partial,1,commercial,allpub,noaccess,RM,14,1073,159,1.0,1.0,3,13450300
chrompet,abnormal,0,house,elo,noaccess,RM,10,827,185,1.0,1.0,3,7451100
t nagar,adjland,0,house,nosewr,paved,RH,41,1666,119,1.0,1.0,4,11167270
chrompet,partial,0,house,nosewr,gravel,RH,21,1151,7,1.0,1.0,3,8350550
velachery,abnormal,1,other,elo,paved,C,43,1543,42,2.0,1.0,4,8379110
adyar,adjland,0,other,elo,noaccess,RM,28,878,103,1.0,1.0,3,8576620
chrompet,adjland,0,other,nosewr,noaccess,RH,38,821,79,1.0,1.0,3,6678470
anna nagar,partial,0,other,nosewr,gravel,RL,21,1663,64,1.0,1.0,4,12869560
chrompet,normalsale,0,house,nosewr,paved,RM,32,914,18,1.0,1.0,3,8155200
karapakkam,adjland,0,other,nosewr,gravel,I,31,968,35,1.0,1.0,3,6297250
karapakkam,adjland,0,commercial,nosewr,paved,RM,22,571,122,1.0,1.0,2,7899500
velachery,abnormal,1,other,allpub,gravel,C,20,1782,13,2.0,1.0,4,10274050
chrompet,adjland,1,commercial,elo,noaccess,RL,20,754,98,1.0,1.0,2,10443600
chrompet,adjland,0,commercial,nosewr,gravel,RM,22,1111,89,1.0,1.0,3,14248300
karapakkam,normalsale,1,commercial,allpub,gravel,RH,22,631,46,1.0,1.0,2,8269500
velachery,normalsale,1,commercial,allpub,gravel,RL,19,1940,34,3.0,2.0,5,17797530
velachery,adjland,1,other,allpub,gravel,A,19,1755,16,2.0,1.0,4,10222380
kk nagar,abnormal,0,other,allpub,paved,RM,14,2144,132,3.0,2.0,5,12505960
kk nagar,abnormal,0,commercial,nosewr,paved,RL,16,2492,113,4.0,2.0,6,18725520
kk nagar,normalsale,1,house,nosewr,gravel,RM,7,1656,55,2.0,1.0,4,11574940
chrompet,family,1,commercial,elo,noaccess,RH,11,987,90,1.0,1.0,3,11541050
t nagar,normalsale,0,other,elo,gravel,RM,23,1548,149,1.0,1.0,4,13249450
t nagar,partial,1,commercial,elo,noaccess,RM,11,1835,86,2.0,1.0,5,20990270
velachery,partial,1,commercial,nosewr,noaccess,C,44,1652,120,2.0,1.0,4,12039380
kk nagar,adjland,0,other,nosewr,gravel,RL,15,2218,162,3.0,2.0,5,12731260
chrompet,normalsale,1,other,nosewr,paved,RM,30,1260,26,2.0,1.0,4,11270700
kk nagar,partial,0,other,nosewr,gravel,RM,6,1376,75,2.0,1.0,4,9903840
t nagar,abnormal,0,other,nosewr,noaccess,RL,41,1860,183,2.0,1.0,5,12885120
adyar,normalsale,0,house,allpub,gravel,C,34,633,138,1.0,1.0,2,5619510
anna nagar,abnormal,0,other,nosewr,noaccess,RH,41,1508,63,1.0,1.0,4,10363160
chrompet,abnormal,1,house,allpub,gravel,RL,5,861,148,1.0,1.0,3,9512550
chrompet,family,0,house,nosewr,gravel,RH,39,1148,104,1.0,1.0,3,8145250
chrompet,family,1,commercial,nosewr,noaccess,RM,25,1244,68,2.0,1.0,4,14703750
adyar,family,1,commercial,elo,paved,RH,30,1130,29,1.0,1.0,3,13383350
anna nagar,family,1,other,nosewr,gravel,RH,31,1579,188,1.0,1.0,4,12812990
t nagar,partial,1,other,nosewr,paved,RH,36,1577,23,1.0,1.0,4,12087330
kk nagar,partial,0,other,nosewr,paved,RL,14,1896,182,3.0,2.0,5,10461400
anna nagar,adjland,0,house,allpub,gravel,RL,5,1669,54,1.0,1.0,4,13022050
adyar,normalsale,0,commercial,nosewr,gravel,RM,7,1070,152,1.0,1.0,3,14465005
adyar,abnormal,1,house,nosewr,gravel,C,39,831,61,1.0,1.0,3,7293785
anna nagar,family,0,commercial,nosewr,noaccess,RH,22,1958,82,2.0,1.0,5,19801690
kk nagar,partial,1,other,nosewr,gravel,RL,25,2409,103,4.0,2.0,6,13476480
t nagar,partial,1,house,nosewr,gravel,RH,23,1815,49,2.0,1.0,5,13046310
karapakkam,abnormal,0,other,allpub,noaccess,RM,26,589,168,1.0,1.0,2,5853875
velachery,adjland,0,house,allpub,gravel,RL,24,1960,8,3.0,2.0,5,11401230
chrompet,normalsale,1,commercial,nosewr,gravel,RL,22,1230,17,2.0,1.0,4,15118500
anna nagar,adjland,0,commercial,nosewr,paved,RM,16,1640,182,1.0,1.0,4,19536370
anna nagar,adjland,0,other,nosewr,noaccess,RM,30,1927,75,2.0,1.0,5,14421410
karapakkam,family,1,other,allpub,noaccess,I,21,541,124,1.0,1.0,2,4894125
kk nagar,abnormal,1,commercial,nosewr,paved,RM,18,1891,64,3.0,2.0,5,16864980
chrompet,family,1,commercial,nosewr,gravel,RL,16,1156,187,1.0,1.0,3,14579200
karapakkam,normalsale,0,commercial,nosewr,noaccess,C,41,1596,165,2.0,2.0,4,9404750
t nagar,family,1,house,nosewr,paved,RM,8,1829,31,2.0,1.0,5,14229060
velachery,adjland,0,commercial,nosewr,gravel,C,50,1727,5,2.0,1.0,4,13281650
chrompet,family,0,other,allpub,noaccess,RL,13,1083,138,1.0,1.0,3,8642060
adyar,family,1,other,nosewr,noaccess,I,7,1206,142,2.0,2.0,4,9378105
velachery,family,1,house,nosewr,gravel,RM,40,1638,31,2.0,1.0,4,10843900
chrompet,normalsale,1,house,nosewr,noaccess,RM,6,1117,133,1.0,1.0,3,9871100
velachery,normalsale,0,commercial,nosewr,paved,RL,54,1590,57,2.0,1.0,4,13277730
karapakkam,abnormal,1,other,allpub,gravel,RH,17,1640,15,2.0,2.0,4,10169750
karapakkam,normalsale,1,other,nosewr,noaccess,RM,7,807,67,1.0,1.0,2,7603375
chrompet,adjland,1,commercial,nosewr,gravel,RL,29,1057,143,1.0,1.0,3,13875150
chrompet,partial,1,commercial,elo,noaccess,RM,39,913,59,1.0,1.0,3,11597050
t nagar,adjland,0,commercial,nosewr,noaccess,RL,20,1887,48,2.0,1.0,5,20499450
velachery,normalsale,1,other,nosewr,paved,RM,31,1835,90,3.0,2.0,5,12153420
anna nagar,normalsale,1,other,elo,noaccess,RL,29,1840,48,2.0,1.0,5,13802880
t nagar,family,1,house,nosewr,gravel,RL,44,1576,156,1.0,1.0,4,12242780
kk nagar,partial,1,house,nosewr,paved,RM,18,2183,168,3.0,2.0,5,12106760
t nagar,normalsale,1,other,elo,noaccess,RH,43,1951,122,2.0,1.0,5,13576610
anna nagar,adjland,1,other,allpub,paved,RM,29,1857,188,2.0,1.0,5,15740140
karapakkam,normalsale,0,commercial,nosewr,gravel,RL,18,1195,80,1.0,1.0,3,10795500
anna nagar,normalsale,0,other,nosewr,paved,RL,36,1836,130,2.0,1.0,5,13378150
karapakkam,normalsale,1,commercial,nosewr,gravel,A,31,976,42,1.0,1.0,3,8072250
kk nagar,partial,0,house,nosewr,gravel,RH,16,1647,111,2.0,1.0,4,8808920
kk nagar,normalsale,0,other,nosewr,paved,RL,28,1633,93,2.0,1.0,4,9751820
kk nagar,normalsale,0,other,allpub,paved,RM,17,2254,60,4.0,2.0,6,12863220
velachery,adjland,1,other,elo,paved,C,51,1912,169,3.0,2.0,5,10011470
t nagar,family,1,commercial,nosewr,gravel,RM,15,1921,188,2.0,1.0,5,23013500
kk nagar,adjland,0,house,nosewr,paved,RM,23,2228,7,4.0,2.0,6,11966860
karapakkam,normalsale,1,commercial,elo,paved,RL,32,680,130,1.0,1.0,2,8208000
karapakkam,partial,0,commercial,nosewr,paved,RM,38,1181,104,1.0,1.0,3,10178500
kk nagar,family,1,commercial,nosewr,paved,RH,27,1373,176,2.0,1.0,4,12442340
velachery,partial,1,commercial,allpub,noaccess,RL,25,1942,126,3.0,2.0,5,16212650
anna nagar,partial,1,commercial,nosewr,noaccess,RH,36,1640,198,1.0,1.0,4,17704670
karapakkam,family,1,other,elo,noaccess,RH,17,714,71,1.0,1.0,2,5736500
karapakkam,adjland,1,commercial,allpub,paved,RL,7,903,77,1.0,1.0,3,10324250
chrompet,partial,1,house,nosewr,noaccess,RL,9,721,161,1.0,1.0,2,7195550
chrompet,normalsale,0,commercial,nosewr,gravel,RM,20,879,156,1.0,1.0,3,12177400
kk nagar,family,0,other,nosewr,gravel,RL,13,1614,78,2.0,1.0,4,10282340
kk nagar,adjland,0,other,allpub,paved,RL,25,2293,83,4.0,2.0,6,12493960
adyar,abnormal,1,house,nosewr,paved,RL,12,898,4,1.0,1.0,3,9350380
kk nagar,abnormal,1,commercial,nosewr,gravel,RH,19,2486,68,4.0,2.0,6,19615980
adyar,family,0,other,nosewr,noaccess,A,22,853,112,1.0,1.0,3,5133330
karapakkam,adjland,1,house,nosewr,paved,A,7,778,46,1.0,1.0,2,5207250
chrompet,family,1,house,nosewr,gravel,RH,34,806,137,1.0,1.0,3,7778900
velachery,family,0,commercial,allpub,paved,C,6,1878,18,3.0,2.0,5,14328720
velachery,family,0,house,allpub,gravel,RH,35,1707,48,2.0,1.0,4,9125100
kk nagar,family,0,house,allpub,gravel,RH,22,1479,199,2.0,1.0,4,8495640
chrompet,adjland,1,house,nosewr,paved,RM,14,884,104,1.0,1.0,3,9668900
chrompet,family,1,commercial,nosewr,noaccess,RM,26,700,172,1.0,1.0,2,10163100
chrompet,abnormal,0,other,allpub,paved,RL,36,843,99,1.0,1.0,3,7812910
kk nagar,normalsale,0,house,allpub,paved,RH,12,2069,131,3.0,2.0,5,10042440
t nagar,adjland,0,other,nosewr,gravel,RH,15,1778,125,1.0,1.0,4,13743040
kk nagar,abnormal,0,other,nosewr,paved,RL,11,2176,28,3.0,2.0,5,11751940
velachery,family,1,other,elo,paved,RL,25,1600,148,2.0,1.0,4,10530200
velachery,normalsale,0,commercial,allpub,gravel,A,26,1677,22,2.0,1.0,4,12695370
t nagar,adjland,0,other,nosewr,noaccess,RL,34,1854,92,2.0,1.0,5,13173400
chrompet,family,0,commercial,elo,paved,RL,20,767,172,1.0,1.0,2,9871800
chrompet,abnormal,1,commercial,nosewr,gravel,RM,40,898,130,1.0,1.0,3,12906800
adyar,abnormal,1,commercial,nosewr,gravel,RM,28,1082,64,1.0,1.0,3,15242220
adyar,abnormal,0,other,allpub,noaccess,C,27,679,120,1.0,1.0,2,5147305
chrompet,partial,1,other,allpub,gravel,RL,33,1212,65,2.0,1.0,4,10995190
chrompet,partial,1,other,allpub,noaccess,RM,27,1222,76,2.0,1.0,4,10569390
karapakkam,abnormal,0,other,nosewr,paved,A,24,533,84,1.0,1.0,2,3000375
anna nagar,normalsale,1,other,allpub,paved,RH,19,1670,133,1.0,1.0,4,13361380
anna nagar,adjland,1,commercial,allpub,gravel,RM,43,1837,66,2.0,1.0,5,22465060
karapakkam,partial,1,house,elo,gravel,RL,6,1089,160,1.0,1.0,3,8439000
velachery,adjland,0,commercial,allpub,paved,I,13,1658,143,2.0,1.0,4,13754660
velachery,adjland,0,house,nosewr,paved,A,53,1863,140,3.0,2.0,5,7478460
kk nagar,normalsale,1,house,nosewr,paved,RH,25,1325,139,1.0,1.0,3,8477500
karapakkam,abnormal,0,commercial,allpub,paved,C,17,1292,111,1.0,1.0,3,8974750
velachery,abnormal,0,commercial,allpub,noaccess,RH,33,1503,154,2.0,1.0,4,12089360
karapakkam,abnormal,0,commercial,allpub,noaccess,I,26,1477,65,2.0,2.0,4,9898250
t nagar,abnormal,1,house,allpub,noaccess,RH,24,1858,156,2.0,1.0,5,12695630
adyar,abnormal,0,other,nosewr,paved,C,27,1157,135,1.0,1.0,3,7707405
adyar,adjland,0,commercial,elo,gravel,A,11,895,44,1.0,1.0,3,10161065
chrompet,abnormal,0,other,allpub,gravel,RL,22,1114,194,1.0,1.0,3,9791680
t nagar,normalsale,0,commercial,nosewr,noaccess,RM,7,1810,128,2.0,1.0,5,20441490
kk nagar,normalsale,1,house,nosewr,gravel,RM,11,1954,116,3.0,2.0,5,12373420
anna nagar,adjland,0,commercial,nosewr,noaccess,RH,41,1767,181,1.0,1.0,4,18402320
karapakkam,normalsale,0,house,nosewr,noaccess,RH,40,1696,48,2.0,2.0,4,7164000
anna nagar,family,1,commercial,allpub,gravel,RM,16,1669,26,1.0,1.0,4,20938520
chrompet,adjland,1,commercial,nosewr,paved,RL,15,1139,171,1.0,1.0,3,14441850
kk nagar,normalsale,0,house,nosewr,gravel,RM,18,2366,133,4.0,2.0,6,12419160
adyar,adjland,0,commercial,allpub,gravel,RL,13,1003,147,1.0,1.0,3,13709595
chrompet,abnormal,0,other,elo,gravel,RH,23,900,145,1.0,1.0,3,7953250
kk nagar,abnormal,1,house,allpub,paved,RL,25,1636,141,2.0,1.0,4,10056300
velachery,partial,0,other,nosewr,gravel,RM,19,1782,88,2.0,1.0,4,11139830
velachery,family,0,house,nosewr,paved,C,55,1511,23,2.0,1.0,4,6435700
chrompet,partial,0,house,nosewr,paved,RM,15,1150,6,1.0,1.0,3,9120250
t nagar,normalsale,1,house,nosewr,gravel,RM,41,1840,55,2.0,1.0,5,14477820
velachery,partial,1,other,nosewr,gravel,A,38,1856,52,3.0,2.0,5,9430410
kk nagar,partial,0,other,nosewr,paved,RM,27,2053,31,3.0,2.0,5,11286200
karapakkam,normalsale,1,commercial,nosewr,gravel,RM,28,1586,59,2.0,2.0,4,14316000
karapakkam,partial,0,house,nosewr,gravel,RH,34,1194,56,1.0,1.0,3,6501500
t nagar,adjland,1,other,elo,gravel,RL,26,1616,44,1.0,1.0,4,14238900
velachery,abnormal,0,commercial,nosewr,paved,RL,10,1861,107,3.0,2.0,5,15793800
karapakkam,normalsale,1,other,allpub,noaccess,RM,40,1162,132,1.0,1.0,3,8372750
kk nagar,normalsale,0,house,nosewr,paved,RL,23,1643,123,2.0,1.0,4,9024860
velachery,partial,1,commercial,nosewr,paved,RH,45,1519,2,2.0,1.0,4,13050750
velachery,family,0,other,allpub,noaccess,RH,13,1896,188,3.0,2.0,5,9911860
kk nagar,partial,0,house,allpub,gravel,RH,15,2207,45,3.0,2.0,5,10698900
velachery,family,0,commercial,allpub,noaccess,RH,28,1667,146,2.0,1.0,4,13120960
karapakkam,family,1,other,nosewr,gravel,RH,23,631,62,1.0,1.0,2,6543375
anna nagar,family,1,house,elo,gravel,RM,21,1792,41,1.0,1.0,4,13906270
karapakkam,normalsale,0,commercial,nosewr,noaccess,RM,7,804,46,1.0,1.0,2,8396250
anna nagar,abnormal,0,commercial,nosewr,gravel,RM,43,1830,33,2.0,1.0,5,20787310
chrompet,adjland,1,commercial,allpub,gravel,RH,26,1020,41,1.0,1.0,3,13245700
velachery,partial,1,house,nosewr,noaccess,RM,25,1702,104,2.0,1.0,4,10140700
chrompet,adjland,1,commercial,nosewr,gravel,RL,19,1064,2,1.0,1.0,3,14285850
kk nagar,normalsale,0,other,nosewr,paved,RL,24,1479,37,2.0,1.0,4,9298860
chrompet,adjland,1,other,elo,noaccess,RM,14,757,155,1.0,1.0,2,8854790
chrompet,abnormal,0,house,nosewr,paved,RL,30,1027,83,1.0,1.0,3,7864100
kk nagar,normalsale,1,other,nosewr,paved,RL,21,2139,136,3.0,2.0,5,12472000
chrompet,adjland,0,house,nosewr,noaccess,RL,19,1136,57,1.0,1.0,3,8319250
adyar,partial,1,commercial,allpub,paved,RL,11,637,197,1.0,1.0,2,10576965
adyar,normalsale,0,commercial,elo,gravel,I,31,836,117,1.0,1.0,3,10170565
adyar,family,1,commercial,allpub,gravel,RL,37,908,112,1.0,1.0,3,13087155
anna nagar,abnormal,1,house,nosewr,gravel,RH,43,1724,66,1.0,1.0,4,12303260
karapakkam,normalsale,0,commercial,nosewr,paved,I,18,502,59,1.0,1.0,2,5358500
kk nagar,partial,0,commercial,nosewr,paved,RL,16,1678,200,2.0,1.0,4,13586120
chrompet,adjland,1,commercial,elo,gravel,RH,5,1041,188,1.0,1.0,3,13511550
adyar,adjland,1,other,allpub,paved,C,14,1197,76,1.0,1.0,3,9905510
velachery,abnormal,1,commercial,allpub,paved,RL,15,1627,148,2.0,1.0,4,15456650
adyar,family,1,other,elo,noaccess,I,22,961,178,1.0,1.0,3,7811430
velachery,abnormal,1,commercial,nosewr,noaccess,RH,9,1590,56,2.0,1.0,4,13925230
adyar,normalsale,1,other,nosewr,gravel,A,24,1110,53,1.0,1.0,3,8561060
kk nagar,partial,1,commercial,nosewr,paved,RM,10,1676,172,2.0,1.0,4,15244800
kk nagar,adjland,1,commercial,allpub,paved,RH,21,1315,94,1.0,1.0,3,12713420
chrompet,partial,0,commercial,nosewr,gravel,RH,10,956,22,1.0,1.0,3,11330100
chrompet,abnormal,0,other,elo,gravel,RM,32,936,190,1.0,1.0,3,9033320
chrompet,partial,1,commercial,nosewr,noaccess,RM,30,787,162,1.0,1.0,2,10751700
kk nagar,abnormal,0,commercial,allpub,paved,RL,18,1717,115,2.0,1.0,4,14350560
t nagar,normalsale,0,house,elo,noaccess,RL,45,1930,13,2.0,1.0,5,11727250
t nagar,adjland,1,commercial,allpub,noaccess,RH,9,1781,190,1.0,1.0,4,20288980
chrompet,normalsale,0,other,allpub,noaccess,RH,24,1187,89,1.0,1.0,3,8389190
karapakkam,partial,0,house,nosewr,noaccess,A,31,1617,87,2.0,2.0,4,4824750
chrompet,partial,0,other,allpub,paved,RL,32,782,192,1.0,1.0,2,7344340
chrompet,normalsale,0,house,nosewr,gravel,RH,39,775,34,1.0,1.0,2,6603250
karapakkam,normalsale,1,other,elo,paved,C,26,1350,5,2.0,2.0,4,7074750
chrompet,normalsale,0,commercial,allpub,gravel,RH,32,1060,36,1.0,1.0,3,12248000
velachery,normalsale,0,house,elo,noaccess,RM,21,1900,180,3.0,2.0,5,9945720
velachery,partial,0,house,allpub,noaccess,RM,51,1808,6,3.0,2.0,5,9148120
chrompet,abnormal,1,other,nosewr,gravel,RM,13,734,159,1.0,1.0,2,9632330
karapakkam,normalsale,1,other,nosewr,paved,C,27,1129,195,1.0,1.0,3,6472125
chrompet,partial,1,house,nosewr,gravel,RM,19,1268,40,2.0,1.0,4,10982650
chrompet,adjland,1,commercial,elo,paved,RM,24,829,173,1.0,1.0,3,12303600
t nagar,family,0,other,nosewr,paved,RM,16,1589,4,1.0,1.0,4,12911990
chrompet,adjland,0,commercial,allpub,gravel,RL,31,748,93,1.0,1.0,2,10727250
chrompet,family,1,commercial,nosewr,paved,RM,14,1294,12,2.0,1.0,4,15704500
chrompet,adjland,1,house,allpub,paved,RH,32,738,76,1.0,1.0,2,7660600
velachery,adjland,1,commercial,nosewr,gravel,RH,32,1782,110,2.0,1.0,4,16068640
chrompet,adjland,1,other,nosewr,noaccess,RL,20,1131,64,1.0,1.0,3,10089670
karapakkam,abnormal,1,other,nosewr,noaccess,RH,19,672,103,1.0,1.0,2,5805250
chrompet,abnormal,1,commercial,allpub,paved,RL,34,958,88,1.0,1.0,3,12473300
chrompet,abnormal,0,other,elo,gravel,RM,21,889,196,1.0,1.0,3,9098680
velachery,partial,0,house,allpub,noaccess,A,36,1563,158,2.0,1.0,4,5613270
anna nagar,abnormal,0,other,nosewr,gravel,RH,41,1625,118,1.0,1.0,4,12085470
kk nagar,family,1,commercial,allpub,gravel,RM,16,1377,194,2.0,1.0,4,14392520
anna nagar,family,1,other,allpub,noaccess,RL,20,1589,196,1.0,1.0,4,12735120
karapakkam,abnormal,0,commercial,nosewr,noaccess,RL,13,606,86,1.0,1.0,2,6564750
chrompet,partial,0,commercial,elo,gravel,RM,4,1035,126,1.0,1.0,3,13223000
chrompet,abnormal,1,house,nosewr,noaccess,RH,23,1132,106,1.0,1.0,3,8356850
anna nagar,partial,0,house,elo,gravel,RL,10,1677,123,1.0,1.0,4,11947050
t nagar,adjland,1,house,nosewr,gravel,RM,37,1547,117,1.0,1.0,4,13597890
anna nagar,abnormal,1,commercial,allpub,paved,RM,10,1646,94,1.0,1.0,4,20519100
adyar,abnormal,0,commercial,elo,paved,C,36,1081,158,1.0,1.0,3,10970740
chrompet,adjland,1,other,elo,noaccess,RL,32,892,155,1.0,1.0,3,8568240
kk nagar,partial,0,house,nosewr,gravel,RH,8,1951,111,3.0,2.0,5,9772960
chrompet,partial,1,commercial,elo,paved,RH,9,1080,56,1.0,1.0,3,12721750
anna nagar,adjland,0,house,nosewr,gravel,RL,25,1781,0,1.0,1.0,4,12968400
karapakkam,normalsale,1,commercial,elo,gravel,RM,11,739,121,1.0,1.0,2,9953250
kk nagar,partial,1,other,nosewr,gravel,RM,21,2198,71,3.0,2.0,5,13584980
karapakkam,adjland,1,commercial,elo,noaccess,RH,37,1513,126,2.0,2.0,4,11547750
velachery,family,0,commercial,allpub,noaccess,RH,32,1527,17,2.0,1.0,4,12148390
anna nagar,partial,0,other,nosewr,gravel,RL,34,1793,146,1.0,1.0,4,13263370
